time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000027,0.000010
0.010000,0.000000,-0.000175,0.000009
0.015000,-0.000000,-0.000812,0.000010
0.020000,-0.000002,-0.001540,-0.000001
0.025000,-0.000004,-0.003082,-0.000044
0.030000,-0.000003,-0.004399,-0.000063
0.035000,-0.000002,-0.006556,-0.000097
0.040000,0.000001,-0.007998,-0.000104
0.045000,0.000008,-0.009995,-0.000104
0.050000,0.000014,-0.011083,-0.000106
0.055000,0.000022,-0.012236,-0.000111
0.060000,0.000028,-0.012634,-0.000108
0.065000,0.000034,-0.012704,-0.000069
0.070000,0.000038,-0.012411,-0.000039
0.075000,0.000041,-0.011581,-0.000019
0.080000,0.000042,-0.010826,-0.000021
0.085000,0.000041,-0.009522,-0.000039
0.090000,0.000039,-0.008623,-0.000041
0.095000,0.000037,-0.007336,-0.000039
0.100000,0.000036,-0.006544,-0.000032
0.105000,0.000032,-0.005519,-0.000021
0.110000,0.000030,-0.004962,-0.000013
0.115000,0.000026,-0.004284,-0.000012
0.120000,0.000022,-0.003936,-0.000017
0.125000,0.000017,-0.003578,-0.000035
0.130000,0.000015,-0.003423,-0.000031
0.135000,0.000012,-0.003299,-0.000010
0.140000,0.000010,-0.003257,0.000010
0.145000,0.000007,-0.003225,0.000037
0.150000,0.000006,-0.003212,0.000065
0.155000,0.000003,-0.003172,0.000082
0.160000,-0.000000,-0.002998,0.000098
0.165000,-0.000004,-0.002168,0.000103
0.170000,-0.000005,-0.001175,0.000103
0.175000,-0.000010,0.000980,0.000086
0.180000,-0.000013,0.002820,-0.000061
0.185000,-0.000021,0.006063,-0.000261
0.190000,-0.000032,0.008427,-0.000373
0.195000,-0.000059,0.012147,-0.000530
0.200000,-0.000086,0.014671,-0.000637
0.205000,-0.000139,0.018263,-0.000680
0.210000,-0.000179,0.020405,-0.000660
0.215000,-0.000242,0.022868,-0.000648
0.220000,-0.000287,0.023825,-0.000652
0.225000,-0.000355,0.024265,-0.000660
0.230000,-0.000399,0.023986,-0.000663
0.235000,-0.000461,0.022885,-0.000654
0.240000,-0.000500,0.021798,-0.000654
0.245000,-0.000556,0.019860,-0.000657
0.250000,-0.000591,0.018443,-0.000651
0.255000,-0.000638,0.016235,-0.000626
0.260000,-0.000666,0.014744,-0.000617
0.265000,-0.000704,0.012529,-0.000605
0.270000,-0.000728,0.011099,-0.000614
0.275000,-0.000761,0.009063,-0.000628
0.280000,-0.000780,0.007809,-0.000636
0.285000,-0.000807,0.006093,-0.000672
0.290000,-0.000823,0.005089,-0.000703
0.295000,-0.000844,0.003844,-0.000754
0.300000,-0.000856,0.003196,-0.000774
0.305000,-0.000873,0.002511,-0.000760
0.310000,-0.000882,0.002215,-0.000748
0.314999,-0.000894,0.001964,-0.000740
0.319999,-0.000899,0.001922,-0.000738
0.324999,-0.000907,0.001995,-0.000742
0.329999,-0.000911,0.002110,-0.000747
0.334999,-0.000918,0.002356,-0.000762
0.339999,-0.000922,0.002520,-0.000782
0.344999,-0.000931,0.002713,-0.000825
0.349999,-0.000938,0.002793,-0.000853
0.354999,-0.000952,0.002801,-0.000867
0.359999,-0.000962,0.002750,-0.000877
0.364999,-0.000977,0.002616,-0.000912
0.369999,-0.000987,0.002468,-0.000926
0.374999,-0.001000,0.002188,-0.000893
0.379999,-0.001008,0.002002,-0.000861
0.384999,-0.001018,0.001703,-0.000820
0.389999,-0.001023,0.001525,-0.000816
0.394998,-0.001030,0.001312,-0.000840
0.399998,-0.001033,0.001195,-0.000855
0.404998,-0.001039,0.001054,-0.000873
0.409998,-0.001044,0.000972,-0.000901
0.414998,-0.001052,0.000906,-0.000924
0.419998,-0.001057,0.000878,-0.000948
0.424998,-0.001064,0.000888,-0.000988
0.429998,-0.001066,0.000912,-0.001001
0.434998,-0.001070,0.000944,-0.000990
0.439998,-0.001072,0.000914,-0.000996
0.444998,-0.001077,0.000704,-0.001020
0.449998,-0.001079,0.000412,-0.001026
0.454998,-0.001081,-0.000259,-0.001014
0.459998,-0.001080,-0.000845,-0.001002
0.464998,-0.001075,-0.001875,-0.000964
0.469997,-0.001070,-0.002626,-0.000944
0.474997,-0.001056,-0.003785,-0.000915
0.479997,-0.001045,-0.004557,-0.000908
0.484997,-0.001024,-0.005651,-0.000908
0.489997,-0.001006,-0.006321,-0.000919
0.494997,-0.000976,-0.007211,-0.000917
0.499997,-0.000953,-0.007685,-0.000913
0.504997,-0.000919,-0.008177,-0.000868
0.509997,-0.000896,-0.008381,-0.000838
0.514997,-0.000862,-0.008516,-0.000794
0.519997,-0.000840,-0.008507,-0.000768
0.524997,-0.000809,-0.008416,-0.000728
0.529997,-0.000790,-0.008320,-0.000709
0.534997,-0.000764,-0.008126,-0.000668
0.539997,-0.000749,-0.007980,-0.000645
0.544997,-0.000728,-0.007792,-0.000626
0.549996,-0.000714,-0.007679,-0.000616
0.554996,-0.000692,-0.007532,-0.000608
0.559996,-0.000677,-0.007462,-0.000619
0.564996,-0.000655,-0.007378,-0.000644
0.569996,-0.000639,-0.007334,-0.000661
0.574996,-0.000615,-0.007260,-0.000709
0.579996,-0.000600,-0.007205,-0.000755
0.584996,-0.000575,-0.007109,-0.000801
