time, Quad1.Est.S.Yaw, Quad1.Est.Yaw, Quad1.Yaw, Quad1.Ref.Yaw
0.005000,0.050000,0.000000,-0.000000,0.012560
0.010000,0.050000,0.000000,0.000001,0.025120
0.015000,0.050000,0.000000,0.000006,0.043960
0.020000,0.050000,0.000000,0.000035,0.056520
0.025000,0.050000,0.000000,0.000137,0.075360
0.030000,0.050000,0.000000,0.000375,0.087920
0.035000,0.050000,0.000000,0.000819,0.106760
0.040000,0.050000,0.000000,0.001573,0.119320
0.045000,0.050000,0.000000,0.002759,0.138160
0.050000,0.050000,0.000000,0.004466,0.150720
0.055000,0.050000,0.000000,0.006732,0.169560
0.060000,0.050000,0.000000,0.009572,0.182120
0.065000,0.050000,0.000000,0.012941,0.200960
0.070000,0.050000,0.000000,0.016725,0.213520
0.075000,0.050000,0.000000,0.020748,0.232360
0.080000,0.050000,0.000000,0.024811,0.244920
0.085000,0.050000,0.000000,0.028715,0.263760
0.090000,0.050000,0.000000,0.032270,0.276320
0.095000,0.050000,0.000000,0.035356,0.295160
0.100000,0.050000,0.000000,0.037874,0.307720
0.105000,0.050000,0.000000,0.039777,0.326560
0.110000,0.050000,0.000000,0.041077,0.339120
0.115000,0.050000,0.000000,0.041800,0.357960
0.120000,0.050000,0.000000,0.042046,0.370520
0.125000,0.050000,0.000000,0.041980,0.389360
0.130000,0.050000,0.000000,0.041746,0.401920
0.135000,0.050000,0.000000,0.041489,0.420760
0.140000,0.050000,0.000000,0.041374,0.433320
0.145000,0.050000,0.000000,0.041570,0.452160
0.150000,0.050000,0.000000,0.042154,0.464720
0.155000,0.050000,0.000000,0.043175,0.483560
0.160000,0.050000,0.000000,0.044663,0.496120
0.165000,0.050000,0.000000,0.046655,0.514960
0.170000,0.050000,0.000000,0.049186,0.527520
0.175000,0.050000,0.000000,0.052212,0.546361
0.180000,0.050000,0.000000,0.055714,0.558921
0.185000,0.050000,0.000000,0.059632,0.577761
0.190000,0.050000,0.000000,0.063928,0.590321
0.195000,0.050000,0.000000,0.068605,0.609161
0.200000,0.050000,0.000000,0.073684,0.621721
0.205000,0.050000,0.000000,0.079213,0.640561
0.210000,0.050000,0.000000,0.085198,0.653121
0.215000,0.050000,0.000000,0.091636,0.671961
